"letters_id","sender_id","recipient_id","send_date_computable1","source_loc_id","SourceLAT","SourceLNG","target_loc_id","TargetLAT","TargetLNG","GEOM"
"era_cwe_778","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","c0b89c75-45b8-4b04-bfd7-25bfe9ed040b","1518-02-22","leuven_BE_gid_2792482","50.87959","4.70093","paris_FR_gid_2988507","48.85341","2.3488","LINESTRING (4.70093 50.87959 , 2.3488 48.85341) |era_cwe_778"
"era_cwe_813","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","c0b89c75-45b8-4b04-bfd7-25bfe9ed040b","1518-04-17","leuven_BE_gid_2792482","50.87959","4.70093","paris_FR_gid_2988507","48.85341","2.3488","LINESTRING (4.70093 50.87959 , 2.3488 48.85341) |era_cwe_813"
"era_cwe_869","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","c0b89c75-45b8-4b04-bfd7-25bfe9ed040b","1518-10-15","leuven_BE_gid_2792482","50.87959","4.70093","paris_FR_gid_2988507","48.85341","2.3488","LINESTRING (4.70093 50.87959 , 2.3488 48.85341) |era_cwe_869"
"era_cwe_906","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","c0b89c75-45b8-4b04-bfd7-25bfe9ed040b","1518-12-22","leuven_BE_gid_2792482","50.87959","4.70093","paris_FR_gid_2988507","48.85341","2.3488","LINESTRING (4.70093 50.87959 , 2.3488 48.85341) |era_cwe_906"
"era_cwe_930","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","c0b89c75-45b8-4b04-bfd7-25bfe9ed040b","1519-03-21","mechelen_BE_gid_2791537","51.02574","4.47762","paris_FR_gid_2988507","48.85341","2.3488","LINESTRING (4.47762 51.02574 , 2.3488 48.85341) |era_cwe_930"
"era_cwe_954","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","c0b89c75-45b8-4b04-bfd7-25bfe9ed040b","1519-04-01","leuven_BE_gid_2792482","50.87959","4.70093","paris_FR_gid_2988507","48.85341","2.3488","LINESTRING (4.70093 50.87959 , 2.3488 48.85341) |era_cwe_954"
"gbudé_gueudet_bibl_801","639f3ce8-be9f-4993-b200-3fcde3a3b4e9","c0b89c75-45b8-4b04-bfd7-25bfe9ed040b","1520-12-31","avignon_FR_gid_3035681","43.94834","4.80892","paris_FR_gid_2988507","48.85341","2.3488","LINESTRING (4.80892 43.94834 , 2.3488 48.85341) |gbudé_gueudet_bibl_801"
"gbudé_gueudet_bibl_802","cacec994-3346-4081-bd41-7c3dd391e8e3","c0b89c75-45b8-4b04-bfd7-25bfe9ed040b","1511-11-21","paris_FR_gid_2988507","48.85341","2.3488","paris_FR_gid_2988507","48.85341","2.3488","LINESTRING (2.3488 48.85341 , 2.3488 48.85341) |gbudé_gueudet_bibl_802"
"gbudé_gueudet_bibl_804a","3b4c81b2-e0d5-4b14-868d-dfc3b629558b","c0b89c75-45b8-4b04-bfd7-25bfe9ed040b","1520-01-04","venice_IT_gid_3164603","45.43713","12.33265","marly_la_ville_FR_gid_2995653","49.08201","2.50347","LINESTRING (12.33265 45.43713 , 2.50347 49.08201) |gbudé_gueudet_bibl_804a"
"gbudé_gueudet_bibl_807","c2ff0092-c760-430e-a5ff-2430813d1bc6","c0b89c75-45b8-4b04-bfd7-25bfe9ed040b","1511-10-08","paris_FR_gid_2988507","48.85341","2.3488","paris_FR_gid_2988507","48.85341","2.3488","LINESTRING (2.3488 48.85341 , 2.3488 48.85341) |gbudé_gueudet_bibl_807"
"gbudé_gueudet_bibl_816a","cf3972c3-9700-467a-be0e-d8b2ed95486c","c0b89c75-45b8-4b04-bfd7-25bfe9ed040b","1505-10-01","paris_FR_gid_2988507","48.85341","2.3488","paris_FR_gid_2988507","48.85341","2.3488","LINESTRING (2.3488 48.85341 , 2.3488 48.85341) |gbudé_gueudet_bibl_816a"
"gbudé_gueudet_bibl_822","96a63010-6201-4f01-a82f-e6108cb30f08","c0b89c75-45b8-4b04-bfd7-25bfe9ed040b","1519-12-07","rome_IT_gid_3169070","41.89193","12.51133","marly_la_ville_FR_gid_2995653","49.08201","2.50347","LINESTRING (12.51133 41.89193 , 2.50347 49.08201) |gbudé_gueudet_bibl_822"
"gbudé_gueudet_bibl_829","a9779b0b-cb2b-4a48-84c4-940449ef5c3c","c0b89c75-45b8-4b04-bfd7-25bfe9ed040b","1519-09-01","freiburg_DE_gid_2925177","47.9959","7.85222","marly_la_ville_FR_gid_2995653","49.08201","2.50347","LINESTRING (7.85222 47.9959 , 2.50347 49.08201) |gbudé_gueudet_bibl_829"
"gbudé_lg_18","d5256b25-70df-48e3-95be-3d290c0a978b","c0b89c75-45b8-4b04-bfd7-25bfe9ed040b","1539-10-15","chíos_GR_gid_259973","38.36778","26.13583","paris_FR_gid_2988507","48.85341","2.3488","LINESTRING (26.13583 38.36778 , 2.3488 48.85341) |gbudé_lg_18"
"gbudé_lg_25","fa8b4f44-551f-4cc6-a4f7-d5fb957064ae","c0b89c75-45b8-4b04-bfd7-25bfe9ed040b","1510-01-13","milano_IT_gid_3173435","45.46427","9.18951","paris_FR_gid_2988507","48.85341","2.3488","LINESTRING (9.18951 45.46427 , 2.3488 48.85341) |gbudé_lg_25"
"gbudé_lg_44","ab74d6de-13e3-4b8b-909a-b9471a2d75f3","c0b89c75-45b8-4b04-bfd7-25bfe9ed040b","1521-01-25","padova_IT_gid_3171728","45.40797","11.88586","romorantin_lanthenay_FR_gid_2982967","47.36667","1.75","LINESTRING (11.88586 45.40797 , 1.75 47.36667) |gbudé_lg_44"
"gbudé_lg_66","08bc2797-a901-4407-8c0d-e39b72becf3f","c0b89c75-45b8-4b04-bfd7-25bfe9ed040b","1521-03-04","fontenay_le_comte_FR_gid_3017921","46.46667","-0.81667","romorantin_lanthenay_FR_gid_2982967","47.36667","1.75","LINESTRING (-0.81667 46.46667 , 1.75 47.36667) |gbudé_lg_66"
"gbudé_lg_7","4de6dad8-84ae-4acd-9b76-0e2064602f71","c0b89c75-45b8-4b04-bfd7-25bfe9ed040b","1520-12-20","paris_FR_gid_2988507","48.85341","2.3488","blois_FR_gid_3032213","47.58333","1.33333","LINESTRING (2.3488 48.85341 , 1.33333 47.58333) |gbudé_lg_7"
"gbudé_lg_9","4de6dad8-84ae-4acd-9b76-0e2064602f71","c0b89c75-45b8-4b04-bfd7-25bfe9ed040b","1521-01-31","paris_FR_gid_2988507","48.85341","2.3488","romorantin_lanthenay_FR_gid_2982967","47.36667","1.75","LINESTRING (2.3488 48.85341 , 1.75 47.36667) |gbudé_lg_9"
"gbudé_tournoy_4","a947e7e4-41f3-4f30-acd3-3cb79fbf5e18","c0b89c75-45b8-4b04-bfd7-25bfe9ed040b","1520-03-07","leuven_BE_gid_2792482","50.87959","4.70093","marly_la_ville_FR_gid_2995653","49.08201","2.50347","LINESTRING (4.70093 50.87959 , 2.50347 49.08201) |gbudé_tournoy_4"
"gbudé_tournoy_8","a947e7e4-41f3-4f30-acd3-3cb79fbf5e18","c0b89c75-45b8-4b04-bfd7-25bfe9ed040b","1529-11-01","brugge_BE_gid_2800931","51.20892","3.22424","paris_FR_gid_2988507","48.85341","2.3488","LINESTRING (3.22424 51.20892 , 2.3488 48.85341) |gbudé_tournoy_8"
"gbudé_tournoy_9","a947e7e4-41f3-4f30-acd3-3cb79fbf5e18","c0b89c75-45b8-4b04-bfd7-25bfe9ed040b","1532-09-01","brugge_BE_gid_2800931","51.20892","3.22424","paris_FR_gid_2988507","48.85341","2.3488","LINESTRING (3.22424 51.20892 , 2.3488 48.85341) |gbudé_tournoy_9"
