Id	type	gender	viaf_id	Label	known_name_variations	known_name_variations_ref	pob_loc_id	pob_loc_annotation	pob_loc_annotation_ref	dob_year1	dob_month1	dob_day1	dob_computable1	dob_has_range	dob_year2	dob_month2	dob_day2	dob_computable2	dob_annotion	dob_annotion_ref	pod_loc_id	pod_loc_annotation	pod_loc_annotation_ref	dod_year1	dod_month1	dod_day1	dod_computable1	dod_has_range	dod_year2	dod_month2	dod_day2	dod_computable2	dod_annotion	dod_annotion_ref	further_annotation
peutinger_konrad_viaf_56776766	individual	male	56776766	Konrad PEUTINGER	Peutingerus // Beyttinger // Peuthinerus // Pytingerus	GND	augsburg_DE_gid_2954172	Ausgburg	COE III, 74-76	1465	10	15	1465-10-15	0	1465	10	15	1465-10-15	15 October 1465	COE III, 74-76	augsburg_DE_gid_2954172	Augsburg	COE III, 74-76	1547	10	28	1547-10-28	0	1547	10	28	1547-10-28	28 October 1547	COE III, 74-76	
froben_hieronymus_viaf_32319505	individual	male	32319505	Hieronymus FROBEN	Hieronymus Froben der Ältere // Frobensius	GND	basel_CH_gid_2661604	Basel	COE II, 58-60	1501	08	06	1501-08-06	0	1501	08	06	1501-08-06	6.8.1501	Historisches Lexikon der Schweiz	basel_CH_gid_2661604	Basel	COE II, 58-60	1563	03	13	1563-03-13	0	1563	03	13	1563-03-13	13.3.1563	Historisches Lexikon der Schweiz	
melanchthon_philipp_viaf_76319978	individual	male	76319978	Philippus MELANCHTHON	Didymus Faventinus // Theophilus Neocomensis // Schwartzerd // Schwarzerd // Schwarzert // Schwarzerdt	GND	bretten_DE_gid_2944200	Bretten	COE II, 424-429	1497	02	16	1497-02-16	0	1497	02	16	1497-02-16	16 February 1497	COE II, 424-429	wittenberg_DE_gid_7303020	Wittenberg	COE II, 424-429	1560	04	19	1560-04-19	0	1560	04	19	1560-04-19	19 April 1560	COE II, 424-429	
pirckheimer_willibald_viaf_27173507	individual	male	27173507	Willibald PIRCKHEIMER	Philadelphus // Cotta // Cottalambergius // Cottalembergius // Cotta Lembergius // Pirckheimer // Byrkhamer // Pirkeymerus // Pyrckheimerus // Pyrkheymerus // Birgheimerus // Birgheimer // Pirckheymer // Birckheimer // Pirckheimerus // Pirkheimer // Pirchaimerus // Pirckeymer // Bircamer // Birchheimer // Pirkheymer // Pirkamerus // Pirkeymer // Bircamerus // Birckhaimer // Pircheimerus // Pirckeymerus // Pirckeymherus // Pirckheymerus // Birckheymerus // Pircheymerus // Pirckheimherus // Pirckh	GND	eichstätt_DE_gid_2932069	Eichstätt	COE III, 90-94	1470	12	05	1470-12-05	0	1470	12	05	1470-12-05	5 December 1470	COE III, 90-94	nürnberg_DE_gid_2861650	Nürnberg	COE III, 90-94	1530	12	22	1530-12-22	0	1530	12	22	1530-12-22	22 December 1530	COE III, 90-94	
leo_x_pope_viaf_316407579	individual	male	316407579	Pope LEO X	Giovanni de' Medici	COE II, 319-322	florence_IT_gid_3176959	Florence	COE II, 319-322	1475	12	11	1475-12-11	0	1475	12	11	1475-12-11	11 December 1475	COE II, 319-322	rome_IT_gid_3169070	Rome	COE II, 319-322	1521	12	01	1521-12-01	0	1521	12	01	1521-12-01	1 December 1521	COE II, 319-322	
capito_wolfgang_viaf_61578502	individual	male	61578502	Wolfgang Faber CAPITO	Capito // Luithold // Luitholdus // Capiton // Cephalaeus // Köphel // Köphl // Cephaleus // Köpphel // Faber // Luithold // Köpffel // Köpfel // Koepfel	GND	haguenau_FR_gid_3014078	Hagenau/Elsaß	HGK I, 163	1478	NULL	NULL	1478-01-01	1	1478	NULL	NULL	1478-12-31	1478	HGK I, 163	strasbourg_FR_gid_2973783	Straßburg	HGK I, 163	1541	11	02	1541-11-02	0	1541	11	02	1541-11-02	2 November 1541	COE I, 261-264	
hessus_helius_eobanus_viaf_71412338	individual	male	71412338	Helius EOBANUS Hessus	Koch // Hesse // Hessi // Hess // von Frankenberg	GND	halgehausen_DE_gid_2911550	Halgehausen bei Frankenberg/Hessen	HGK I, 248	1488	01	06	1488-01-06	0	1488	01	06	1488-01-06	6 January 1488	COE I, 434-436	marburg_an_der_lahn_DE_gid_2873759	Marburg/Lahn	HGK I, 248	1540	10	04	1540-10-04	0	1540	10	04	1540-10-04	4 October 1540	COE I, 434-436	
schweiß_alexander_von_viaf_89934990	individual	male	89934990	Alexander SCHWEISS	Schweis	COE III, 235-236	herborn_DE_gid_2906199	Herborn, in Hesse	COE III, 235-236	NULL	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL	COE III, 235-236	unknown_location_XX_gid_unknown	Unknown	COE III, 235-236	1533	NULL	NULL	1533-01-01	1	1536	NULL	NULL	1536-12-31	1533-6	COE III, 235-236	
bannicius_jacobus_viaf_72207021	individual	male	72207021	Jacopo BANNISIO	Bannisio // Bannicius // Bannisiis // Bannissis // Banisius	GND // COE I, 90-91	korčula_HR_gid_3197710	Korčula	COE I, 90-91	1466	10	15	1466-10-15	0	1466	10	15	1466-10-15	15 October 1466	Pirckheimer BW II, 487	unknown_location_XX_gid_unknown	Unknown	COE I, 90-91	1532	11	19	1532-11-19	0	1532	11	19	1532-11-19	19 November 1532	COE I, 90-91	
erasmus_desiderius_viaf_95982394	individual	male	95982394	ERASMUS	NULL	NULL	rotterdam_NL_gid_2747891	bei Rotterdam	HGK I, 250	1469	NULL	NULL	1469-01-01	1	NULL	NULL	NULL	1469-12-31	1469	HGK I, 250	basel_CH_gid_2661604	Basel	HGK I, 250	1536	NULL	NULL	1536-01-01	1	1536	NULL	NULL	1536-12-31	1536	HGK I 250	
rhenanus_beatus_viaf_39415982	individual	male	39415982	BEATUS Rhenanus	Rinower // Licentius Evangelus // Bild // Selezestadiensis // Selestadiensis // Bildius	COE I, 104-109 // GND	sélestat_FR_gid_2975233	Sélestat	COE I, 104-109	1485	08	22	1485-08-22	0	1485	08	22	1485-08-22	22 August 1485	COE I, 104-109	strasbourg_FR_gid_2973783	Strasbourg	COE I, 104-109	1547	07	20	1547-07-20	0	1547	07	20	1547-07-20	20 July 1547	COE I, 104-109	
spalatin_georg_viaf_240011410	individual	male	240011410	Georgius SPALATINUS	Burckhardt // Burkhardt // Burckard // Burkhard // Burkard // Burckart // Burckard // Spalatin // Burghardt // Burchardus	GND	spalt_DE_gid_2830849	Spalt	COE III, 266-268	1484	01	17	1484-01-17	0	1484	01	17	1484-01-17	17 January 1484	COE III, 266-268	altenburg_DE_gid_2957773	Altenburg	COE III, 266-268	1545	01	16	1545-01-16	0	1545	01	16	1545-01-16	16 January 1545	COE III, 266-268	
hutten_ulrich_von_viaf_95193756	individual	male	95193756	Ulrich von HUTTEN	Huttenus // ab Hutten	HGK I, 350	steckelberg_castle_DE_gid_unknown	Burg Steckelberg bei Schlüchtern nahe Fulda/Hessen	HGK I, 350	1488	04	21	1488-04-21	0	1488	04	21	1488-04-21	21 April 1488	COE II, 216-220	ufenau_CH_gid_7669974	Insel Ufenau im Zürichsee	HGK I, 350	1523	08	NULL	1523-08-20	1	1523	08	NULL	1523-08-31	end of August 1523	COE II, 216-220	
brassicanus_joannes_alexander_viaf_9899294	individual	male	9899294	Johannes Alexander BRASSICANUS	Köl // Köll / Koel // Brassican // Kohlburger	GND	tübingen_DE_gid_2820860	Tübingen	HGK I, 130	1500	NULL	NULL	1500-01-01	1	1500	NULL	NULL	1500-12-31	1500	HGK I, 130	vienna_AT_gid_2761369	Wien	HGK I, 130	1539	11	27	1539-11-27	0	1539	11	27	1539-11-27	27 November 1539	ADB	
neuenar_hermann_graf_von_viaf_18164526	individual	male	18164526	Hermann von NEUENAHR	Neuenar // Nuenar // Newenaer // Nova Aquila	GND	unknown_location_in_germany_DE_gid_unknown	Unknown	COE III, 14-15	1492	NULL	NULL	1492-01-01	1	1492	NULL	NULL	1492-12-31	c 1492	COE III, 14-15	augsburg_DE_gid_2954172	Augsburg	COE III, 14-15	1530	10	30	1530-10-30	0	1530	10	30	1530-10-30	30 October 1530	COE III, 14-15	
egnazio_giovanni_battista_viaf_100187526	individual	male	100187526	Giambattista EGNAZIO	Cipelli // Cipolles // Aegnatius // Egnatius // Egnace // Egnatio	GND	venice_IT_gid_3164603	Venice	COE I, 424-425	1478	NULL	NULL	1478-01-01	1	1478	NULL	NULL	1478-12-31	1478	COE I, 424-425	unknown_location_XX_gid_unknown	Unknown	COE I, 424-425	1553	07	04	1553-07-04	0	1553	07	04	1553-07-04	4 July 1553	COE I, 424-425	
